Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Alcova -LPD,,,,,,,,,
,7/6/2005,0,14:05,21.2,8.15,518,7.34,82.2,141.8
,,0.5,,21,8.16,513,7.27,81.6,142.2
,,1,,20.8,8.19,510,7.24,81,142.2
,,1.5,,20.8,8.19,508,7.25,79.8,143.6
,,2,,20.6,8.21,506,7.3,81.4,144.2
,,2.5,,20.6,8.23,505,7.31,81.6,144.6
,,3,,20.5,8.25,503,7.31,81,145.6
,,4,,18.4,8.17,483,6.9,73.8,149.9
,,5,,18.2,8.13,478,6.68,70.3,155.1
,,6,,17.9,8.09,474,6.8,72,157.4
,,7,,17.7,8.08,470,6.79,70.9,159.1
,,8,,17.5,8.07,467,6.63,70.1,161.5
,,9,,17.3,8.07,457,6.78,70.7,162.5
,,10,,17.2,8.05,463,6.73,69.7,163.7
,,11,,17,8.04,456,6.65,68.9,164.8
,,12,,16.9,8.06,454,6.71,69.2,166.5
,,13,,16.8,8.05,453,6.71,69,167.1
,,14,,16.7,8.04,453,6.66,68.3,168.4
,,15,,16.6,8.04,451,6.6,68.3,169
,,20,,16.1,8.01,445,6.58,67.3,170.6
,,21.3,,16.1,8.01,443,6.58,67.1,171.8
,,,,,,,,,
,7/6/2006,0,9:32,20.1,7.53,437,6.3,69.4,174.1
,,0.5,,20.1,7.8,435,6.12,67.5,183
,,1,,19.9,7.97,434,5.97,65.3,189.8
,,1.5,,19.9,8.02,434,5.9,64.8,195.2
,,2,,19.9,8.06,434,5.88,64.6,197.7
,,2.5,,20.2,8.18,433,6.05,66.8,201.6
,,3,,20.2,8.19,433,6.02,66.5,203.1
,,4,,20,8.2,433,5.98,65.8,204.9
,,5,,19.9,8.2,433,5.98,65.6,206.2
,,6,,19.8,8.2,433,5.96,65.4,207.8
,,7,,19.7,8.2,433,5.95,65.1,211.2
,,8,,18.85,8.19,434,5.82,62.7,214.9
,,9,,18.1,8.15,368,5.44,57.3,220
,,10,,17.6,8.12,368,5.4,56.6,223
,,11,,17.4,8.1,365,5.4,56.4,223.5
,,12,,17,8.07,362,5.33,55.4,223
,,13,,16.9,8.05,361,5.33,55,226.6
,,14,,16.6,8.04,358,5.36,55.1,227.6
,,15,,16.5,8.03,356,5.38,55.2,228.1
,,20,,16.3,8.01,356,5.45,55.6,229.2
,,25,,16.1,8.01,353,5.51,56,229.8
,,30,,15.7,8,350,5.52,55.6,231
,,40,,15.1,7.97,346,5.42,54,233
,,49,,14.4,7.83,360,0.75,7.3,109.5
,,,,,,,,,
,7/2/2007,0,10:23,21.7,8.24,412,7.32,101.8,243
,,0.5,,21.6,8.29,411.2,7.33,101.5,240
,,1,,21.4,8.4,411.1,7.32,101.3,221
,,1.5,,21.3,8.37,410.8,7.32,101,230
,,2,,21.3,8.55,412.2,7.31,100.8,200
,,2.5,,21.3,8.58,412.1,7.3,100.6,200
,,3,,20.6,8.6,409.7,7.41,100.7,203
,,4,,18.8,8.57,407.3,7.34,96.4,205
,,5,,17.5,8.51,407.1,7.03,89.8,206
,,6,,16.8,8.47,406.5,6.87,86.5,210
,,7,,16.26,8.42,407.2,6.63,82.5,215
,,8,,15.95,8.39,407.6,6.5,80.2,218
,,9,,15.3,8.34,409.5,6.32,76.8,220
,,10,,15.15,8.33,409.4,6.24,75.8,221
,,11,,15.05,8.31,410.2,6.15,74.4,222
,,12,,14.95,8.31,411,6.13,74,222
,,13,,14.8,8.32,408.7,6.34,76.4,223
,,14,,14.79,8.33,408,6.38,76.8,224
,,15,,14.7,8.33,407.1,6.41,77.1,225
,,20,,14.1,8.32,407.1,6.45,76.6,226
,,25,,13.7,8.32,404.9,6.6,77.6,228
,,30,,13.5,8.34,403.7,6.66,78,231
,,37,,12.1,8.32,398.9,6.85,77.6,232
,,,,,,,,,
,7/18/2011,0,13:36,21.59,8.16,399.6,9.22,127.4,424
,,0.5,,20.43,8.16,401.1,9.33,126.5,423
,,1,,20.2,8.19,401.5,9.35,126.4,422
,,1.5,,20.24,8.21,401.1,9.36,126,421
,,2,,19.82,8.21,400.9,9.37,125.5,421
,,2.5,,19.41,8.22,400.1,9.34,125.6,421
,,3,,19.45,8.21,400.5,9.25,122.6,421
,,4,,18.38,8.13,398.5,8.85,114,422
,,5,,17.8,8.07,396.3,8.57,109,422
,,6,,17.52,8.05,394.1,8.44,107.5,422
,,7,,16.93,8.01,393,8.25,103.9,423
,,8,,16.67,8,392.1,8.12,101.7,423
,,9,,16.53,8.01,391,8.13,101.7,423
,,10,,16.31,8.02,388.3,8.16,101.6,423
,,11,,16.26,8.03,388,8.16,101.3,423
,,12,,16.23,8.05,387.7,8.13,101,423
,,13,,16.19,8.06,391.7,8.02,99.6,423
,,14,,16.14,8.09,387.9,8.11,100.6,423
,,15,,16.12,8.12,387.4,8.14,100.8,423
,,20,,15.98,8.11,392.5,7.96,98.3,425
,,25,,15.8,8.11,396.4,7.87,97,426
,,30,,15.56,8.12,398.8,7.76,95.1,428
,,40,,15.05,8.1,405.1,7.53,91,429
,,48,,14.24,7.21,419.5,0.61,6.3,84
,,,,,,,,,
,7/18/2012,0,9:00,21.02,8.48,349.2,8.03,108.3,322
,,0.5,,20.86,8.5,348.6,8.03,108,320
,,1,,20.78,8.5,348.3,8.01,107.5,318
,,1.5,,20.73,8.49,348.5,7.95,106.6,316
,,2,,20.73,8.49,348.6,7.94,106.4,315
,,2.5,,20.7,8.5,348.1,7.93,106.2,314
,,3,,20.7,8.49,348.6,7.91,106,313
,,4,,20.68,8.49,348.8,7.89,105.7,312
,,5,,20.26,8.44,348.4,7.72,102.1,312
,,6,,19.5,8.36,347.9,7.29,95.4,313
,,7,,18.65,8.24,347,6.96,89.8,315
,,8,,17.37,8.14,347.2,6.83,85.1,317
,,9,,16.88,8.08,344.7,6.76,83.7,317
,,10,,16.52,8.07,344.7,6.92,85.4,316
,,11,,16.41,8.07,344.2,7.09,87.1,314
,,12,,16.38,8.07,344.1,7.13,87.4,313
,,13,,16.28,8.06,344.2,7.14,87.3,312
,,14,,16.23,8.06,344.2,7.11,86.9,311
,,15,,16.17,8.05,344,7.08,86.3,309
,,20,,16.06,8.05,343.9,7.07,86,308
,,25,,15.95,8.05,343.1,7.14,86.6,305
,,30,,15.71,8.03,343.4,7.07,85.5,305
,,40,,15.24,7.97,343.6,6.72,80.3,305
,,47,,14.96,7.87,345.2,6.1,72,307
,,,,,,,,,
,7/9/2013,0,13:08,21.74,7.56,422.1,7.81,111,476
,,0.5,,21.71,7.93,422.6,7.83,110.7,471
,,1,,21.75,7.91,422.7,7.89,111.4,469
,,1.5,,21.69,7.98,422.2,7.92,111.4,466
,,2,,21.71,7.97,422,7.87,111,465
,,2.5,,21.6,7.95,423.1,7.9,111.4,464
,,3,,21.62,8.07,422.3,7.91,111.3,462
,,4,,21.5,8.09,422.9,7.9,110.7,458
,,5,,21.1,7.97,424,7.79,108.2,458
,,6,,19.06,7.81,419.8,7.42,97.7,460
,,7,,16.63,7.72,417,7.01,89,461
,,8,,16.22,7.7,419,6.9,86.8,461
,,9,,15.91,7.69,419.2,6.92,86.9,461
,,10,,15.75,7.71,421.2,7.11,89.1,460
,,11,,15.58,7.72,421.1,7.26,90.2,459
,,12,,15.49,7.72,421.6,7.29,90.5,459
,,13,,15.41,7.73,422.2,7.36,91.4,459
,,14,,15.36,7.72,422.9,7.45,92.2,458
,,15,,15.34,7.73,423.1,7.49,92.7,458
,,20,,15.1,7.73,421.8,7.36,90.4,457
,,25,,14.84,7.72,421.6,7.25,88.2,457
,,30,,14.69,7.71,421.4,7.22,88,457
,,40,,13.82,7.62,419,6.95,82.6,458
,,42,,13.49,7.58,419.3,6.6,78.2,458
,,,,,,,,,
,6/11/2018,0,8:43,17.45,8.43,430,9.15,116.2,317
,,0.5,,17.51,8.44,429,8.99,115.2,317
,,1,,17.51,8.45,429,9,115.2,316
,,1.5,,17.47,8.45,429,8.97,114.6,316
,,2,,17.43,8.46,429,9,115,316
,,2.5,,17.43,8.46,429,8.99,114.5,316
,,3,,17.44,8.46,429,8.95,114.5,315
,,4,,17.38,8.46,429,8.97,114.4,315
,,5,,17.33,8.45,429,8.95,114.8,315
,,6,,17.65,8.42,427,9.04,114.1,315
,,7,,13.98,8.24,423,8.46,100.5,317
,,8,,11.83,8.12,426,9.01,90,319
,,9,,11.10,8.04,423,7.89,87.7,320
,,10,,10.98,8.04,420,7.9,87.5,321
,,11,,10.88,8.04,420,7.87,87.2,321
,,12,,10.76,8.04,418,7.87,86.7,321
,,13,,10.64,8.04,418,7.89,86.7,321
,,14,,10.53,8.04,418,7.88,86.4,322
,,15,,10.48,8.03,417,7.89,86.3,322
,,20,,10.08,8.03,417,7.9,86.5,323
,,25,,9.80,8.02,417,7.95,85.6,323
,,30,,9.28,8.04,416,8.14,86.7,323
,,40,,8.75,8.00,417,7.92,83.3,324
,,47,,8.57,7.98,417,7.75,80.9,324
,,,,,,,,,
,7/23/2018,0,9:30,21.87,8.52,428.8,6.25,86.5,303
,,0.5,,21.86,8.54,428.5,6.26,86.8,302
,,1,,21.84,8.54,428.2,6.23,86.5,302
,,1.5,,21.80,8.56,428.1,6.23,86.3,301
,,2,,21.77,8.56,428.2,6.21,86,301
,,2.5,,21.76,8.56,428.3,6.22,86.1,301
,,3,,21.75,8.56,428.2,6.21,86,301
,,4,,21.63,8.53,427.7,6.12,84.3,301
,,5,,19.40,8.32,423.6,5.66,73.8,303
,,6,,17.21,8.02,421.3,4.9,62,305
,,7,,16.40,7.85,419.7,4.33,54.2,306
,,8,,16.07,7.75,418.5,3.99,49.1,307
,,9,,15.79,7.71,416,3.78,46.4,307
,,10,,15.73,7.70,415.4,3.72,45.5,307
,,11,,15.59,7.68,415.1,3.65,44.5,308
,,12,,15.45,7.67,414.8,3.62,43.9,308
,,13,,15.36,7.66,414.7,3.58,43.4,308
,,14,,15.28,7.65,415,3.57,43.2,309
,,15,,15.20,7.65,414.4,3.59,43.4,309
,,20,,14.96,7.65,415.5,3.7,44.4,309
,,25,,14.62,7.63,415.1,3.68,43.9,309
,,30,,14.34,7.62,414.4,3.71,44,310
,,40,,13.65,7.55,413.2,3.45,40.4,311
,,46,,13.07,7.08,467.7,0,0,134
,,,,,,,,,
,9/18/2018,0,10:22,18.47,7.95,426.3,8.24,108.3,405
,,0.5,,18.36,8.03,425.9,8.26,108.4,404
,,1,,18.33,8.05,425.9,8.28,108.7,404
,,1.5,,18.28,8.04,425.6,8.22,107.2,405
,,2,,18.26,8.04,425.7,8.19,106.4,405
,,2.5,,18.25,8.03,426,8.05,105,406
,,3,,18.24,8.03,426.2,7.98,104.3,407
,,4,,18.23,8.03,426,7.94,103.6,407
,,5,,18.22,8.03,426.1,7.86,102.3,407
,,6,,18.13,7.99,426.5,7.53,97.9,408
,,7,,18.01,7.90,428.3,6.93,90.2,409
,,8,,17.85,7.77,432.9,5.83,75.6,410
,,9,,17.79,7.74,434.3,5.81,75.5,411
,,10,,17.72,7.69,430.5,6,77.2,411
,,11,,17.61,7.71,430.1,5.3,68.3,415
,,12,,17.49,7.68,426.1,5.12,65.9,415
