Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Alcova -TPD,,,,,,,,,
,7/6/2005,0,15:44,19.8,8.13,489,7.61,83.1,151.5
,,0.5,,19.6,8.13,479,7.58,83,153
,,1,,19.5,8.15,477,7.59,82.4,154
,,1.5,,19.4,8.17,472,7.51,81.4,155.1
,,2,,19.3,8.19,470,7.44,80.8,155.6
,,2.5,,19.1,8.2,470,7.39,80.3,156.1
,,3,,18.4,8.19,461,7.19,76.8,158.3
,,4,,18.01,8.14,457,6.94,73.3,161.1
,,5,,17.9,8.12,454,6.93,73.2,163.6
,,6,,17.7,8.11,446,6.89,71.8,164.8
,,7,,17.6,8.09,444,6.75,70.9,165.5
,,8,,17.3,8.08,447,6.7,70.2,166.9
,,9,,17.1,8.08,432,6.69,69.4,167.8
,,10,,16.8,8.07,430,6.61,68.2,168.4
,,11,,16.7,8.05,426,6.66,68.2,169.1
,,12,,16.6,8.04,424,6.72,69,170.3
,,13,,16.6,8.03,423,6.62,67.8,171.1
,,14,,16.5,8.03,421,6.58,68,172.6
,,15,,16.4,8.02,420,6.56,67.3,172.9
,,20,,16,8.01,419,6.63,67.2,173.1
,,25,,15.5,7.99,414,6.64,66.6,176.3
,,28.4,,14.9,7.94,402,6.61,65.1,178.3
,,,,,,,,,
,7/6/2006,0,11:37,20.5,8.07,444,6.49,72.1,149.5
,,0.5,,20.5,8.17,442,6.19,68.7,150.3
,,1,,20.5,8.15,441,6.11,67.9,151.9
,,1.5,,20.5,8.17,440,6.08,67.6,153
,,2,,20.5,8.18,440,6.06,67.4,154.5
,,2.5,,20.5,8.21,419,6.18,68.7,159.7
,,3,,20.4,8.21,400,6.3,69.8,161.7
,,4,,20.2,8.19,395,6.16,68,162
,,5,,20,8.16,388,6.11,62,168.9
,,6,,16.7,8.04,357,5.61,59.7,172.6
,,7,,16.7,8.01,353,5.66,58.3,177.7
,,8,,16.7,7.98,351,5.73,58.9,175.7
,,9,,16.5,7.96,349,5.8,59.5,178
,,10,,16.5,7.95,349,5.84,59.9,178.7
,,11,,16.5,7.94,350,5.88,60.2,179.3
,,12,,16.4,7.93,349,5.97,61.2,180.4
,,13,,16.4,7.94,349,5.99,61.2,181.1
