Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
6/23/2020,0,11:54,7.24,7.37,50.4,8.73,100.3,,,,,
,0.5,,7.22,7.26,50.4,8.79,100.2,,,,,
,1,,7.16,7.22,50.4,8.74,100.5,,,,,
,1.5,,7.27,7.22,50.5,8.8,100.5,,,,,
,2,,6.95,7.2,49.6,8.6,97.9,,,,,
,2.5,,6.84,7.17,49.6,8.65,97.9,,,,,
,3,,6.41,7.07,49.5,7.71,86.3,,,,,
,4,,6.02,7,49.9,7.49,83,,,,,
,5,,5.87,6.98,48.7,7.62,84.2,,,,,
,6,,5.6,6.93,48.4,7.35,80.5,,,,,
,7,,5.55,6.89,49.6,6.99,76.8,,,,,
,8,,5.33,6.85,50.5,6.59,71.8,,,,,
,9,,5.19,6.81,50.3,6.29,68.4,,,,,
,10,,5.04,6.76,50.6,5.94,64.3,,,,,
,11,,4.88,6.74,50.5,5.79,62.4,,,,,
,11.6,,4.79,6.73,50.7,5.66,60.9,,,,,
,,,,,,,,,,,,
7/21/2020,0,8:50,14.7,8.84,54.17,8.37,115.31,,,,,
,0.5,,15.13,8.82,54.14,8.38,115.46,,,,,
,1,,15.08,8.83,54.04,8.4,115.81,,,,,
,1.5,,15.09,8.8,54.04,8.39,115.72,,,,,
,2,,15.04,8.75,54.01,8.42,115.82,,,,,
,2.5,,14.75,8.46,53.62,8.43,115.22,,,,,
,3,,12.96,8.36,53.92,9.55,125.35,,,,,
,4,,12.48,8.36,55.31,9.7,126.09,,,,,
,5,,11.68,8.5,53.97,10.16,128.8,,,,,
,6,,10.52,8.74,50.98,10.36,128.35,,,,,
,7,,8.99,8.77,48.66,9.48,108.97,,,,,
,8,,7.22,8.27,48.68,5.61,63.53,,,,,
,9,,6.54,8.03,49.15,4,44.3,,,,,
,10,,6.13,8.13,49.27,3.26,36.16,,,,,
,11,,5.77,8.23,50.22,2.29,24.83,,,,,
,12,9:19,5.58,8.31,52.51,1.06,11.54,,,,,
,,,,,,,,,,,,
8/25/2020,0,12:09,16.12,9.84,66.04,9.88,139.23,144.9,,,,
,0.5,,16.08,9.8,66.04,9.87,138.8,149.5,,,,
,1,,16.05,9.82,66.05,9.89,138.9,154.7,,,,
,1.5,,16.04,9.69,66.04,9.89,138.98,163.1,,,,
,2,,15.97,9.31,66.04,9.9,138.9,182,,,,
,2.5,,15.92,9.29,66.07,9.92,139.06,179.8,,,,
,3,,15.84,9.32,66.03,9.93,139.01,184.6,,,,
,4,,15.8,9.35,65.21,9.86,137.8,182.6,,,,
,5,,15.01,9.39,65.37,10.44,143.86,172.3,,,,
,6,,13.76,9.64,62.21,10.49,141.12,155.9,,,,
,7,,10.19,8.26,53.45,4.06,42.99,157.3,,,,
,8,,8.35,7.89,53.43,1.77,20.19,147.4,,,,
,9,,7.17,7.88,53.03,0.21,2.2,119.7,,,,
,10,,6.42,8.03,56.1,0,0.02,-10.2,,,,
,11,,6.33,8.19,56.49,0,0,-35.4,,,,
,12,,6.09,8.35,58.5,0,0,-105.1,,,,
,,,,,,,,,,,,
