Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Greyrocks Reservoir - LPD,,,,,,,,,
,,,,,,,,,
,6/24/2015,0,11:04:00,21.98,8.45,622.5,8.52,114.6,240
,,0.5,11:06:00,21.9,8.52,622.8,8.6,115.3,236
,,1,11:08:00,21.45,8.57,622.7,8.35,110.9,230
,,1.5,11:10:00,21.34,8.56,622.5,8.31,110.2,231
,,2,11:14:00,21.27,8.49,622.8,8.18,108.2,223
,,2.5,11:16:00,21.12,8.36,623.7,7.25,95.9,223
,,3,11:18:00,21.05,8.41,624.2,7.45,97.9,219
,,4,11:21:00,20.93,8.32,625.2,6.73,88.6,217
,,5,11:22:00,20.66,8.27,624.1,6.26,81.9,217
,,6,11:24:00,20.12,8.07,625.8,4.68,60.8,219
,,7,11:27:00,18.2,7.93,629.3,3.74,46.4,217
,,8,11:29:00,16.22,7.91,616.7,3.51,42,215
,,9,11:33:00,14.72,7.9,615.6,3.56,41.3,212
,,10,11:34:00,14.02,7.92,614,3.88,44.2,210
,,11,11:36:00,13.66,7.93,614.7,4,45.2,209
,,12,11:38:00,12.81,7.94,620.6,3.86,42.8,209
,,13,11:40:00,12.33,7.94,625.3,3.72,40.8,204
,,14,11:42:00,11.98,7.94,628.7,3.38,36.7,203
,,15,11:43:00,11.56,7.9,634.8,2.56,27.2,199
,,20,11:46:00,11.27,7.85,639.4,1.27,13.5,93
,,,,,,,,,
,8/5/2015,0.213,8:39:42,22.61,8.35,630.1,7.5,102,147
,,0.534,8:41:05,22.62,8.36,630.1,7.49,101.9,145
,,0.984,8:42:32,22.62,8.36,630.1,7.5,102,142
,,1.546,8:44:03,22.62,8.37,630.2,7.46,101.5,140
,,2.022,8:45:35,22.62,8.37,630.2,7.45,101.4,138
,,2.518,8:47:30,22.62,8.38,630.2,7.46,101.4,135
,,3.033,8:48:39,22.62,8.37,630.2,7.45,101.4,134
,,4.048,8:50:45,22.62,8.37,630.2,7.41,100.9,132
