Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Viva Naughton Reservoir - LPD,,,,,,,,,,
,6/27/2013,0,1749,17.65,8.27,333.7,7.68,104.1,,
,,0.5,1750,17.67,8.28,333.7,7.66,103.9,,
,,1,1752,17.65,8.29,333.7,7.67,103.5,,
,,1.5,1753,17.62,8.3,333.7,7.67,104,,
,,2,1753,17.61,8.3,333.5,7.67,104,,
,,2.5,1754,17.59,8.31,333.5,7.67,103.9,,
,,3,1755,17.59,8.31,333.5,7.67,103.7,,
,,4,1756,17.54,8.32,333.4,7.65,103.6,,
,,5,1757,17.31,8.32,333,7.68,103.3,,
,,6,1758,16.99,8.34,331.6,7.95,106,,
,,7,1801,15.91,8.33,332.6,7.58,98.8,,
,,8,1802,15.81,8.33,332.4,7.57,98.5,,
,,9,1804,15.71,8.31,332.8,7.4,96.1,,
,,10,1805,14.76,8.17,334.3,6.6,84.1,,
,,11,1806,14.66,8.15,334.7,6.61,81.4,,
,,12,1807,14.5,8.06,335.7,5.86,74.2,,
,,13,1807,14.34,7.98,336.8,5.31,67,,
,,14,1810,13.96,7.87,337.9,4.59,57.5,,
,,15,1811,13.51,7.72,339.2,3.48,43.1,,
,,19.3,1813,12.58,7.45,342.5,0.23,2.8,,
,,,,,,,,,,
,8/1/2013,0,1414,18.55,8.69,318.1,8.06,112.5,179,
,,0.5,1417,18.53,8.65,318.3,8.04,112,182,
,,1,1418,18.52,8.66,318.3,8.08,112.7,180,
,,1.5,1418,18.51,8.66,318.2,8.1,112.5,179,
,,2,1419,18.5,8.67,318.2,8.1,112.8,179,
,,2.5,1420,18.44,8.66,318.2,8.07,112.6,178,
,,3,1420,18.47,8.66,318.2,8.07,112.2,177,
,,4,1421,18.46,8.66,318.1,8.05,111.9,177,
,,5,1422,18.45,8.66,318.1,8.04,111.5,177,
,,6,1423,18.45,8.66,318,8,111.5,177,
,,7,1429,18.28,8.6,318.8,7.22,101.1,178,
,,8,1425,17.92,8.49,321.3,6.57,89.9,183,
,,9,1427,17.64,8.34,324.1,4.49,74.7,189,
,,10,1428,17.43,8.25,326.2,4.81,65.4,193,
,,11,1429,16.87,8.05,332,3.41,45.8,202,
