NOTE 1: HCB-only samples are identified as 'HCB-SurfGrab' under CollMeth and were only analyzed for cyanobacteria,,,,,,,,,,,,,,,,,,,,,,,
"NOTE 2: All 'Phyto_Res_VanDorn' and 'Phyto_Res_Net' samples identified under CollMeth were analyzed for the entire phytoplankton assemblage (e.g., green algae, diatoms, cyanobacteria, cryptomonads, etc.)",,,,,,,,,,,,,,,,,,,,,,,
NOTE 3: StationID's for 'Phyto_Res_VanDorn' and 'Phyto_Res_Net' samples correspond to StationIDs and associated chemical and physical data in the 'ChemPhysData_2002-2021' worksheet,,,,,,,,,,,,,,,,,,,,,,,
NOTE 4: HCB-only samples identified as 'HCB-SurfGrab'  under CollMeth do not have associated chemical and physical data in the 'ChemPhysData_2002-2021' worksheet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PerSampID,StationID,CollMeth,SECTION,QUARTER,RANGE,Town,WaterbodySize_Acres,Lat_Dec,Long_Dec,WaterbodyName,HUC_12,RepNum,CollDate,CollTime,PerTaxaID,Genus/Species/Variety,Individuals (Raw Cnt),Density (cells/L),Family,Genus,Class,Order,Division
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,1287,Navicula sp.,119,431042,Naviculaceae,Navicula,Bacillariophyceae,Naviculales,Bacillariophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,1300,Fragilaria sp.,50,181110,Fragilariaceae,Fragilaria,Fragilariophyceae,Fragilariales,Bacillariophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,1844,Asterionella sp.,153,554197,Fragilariaceae,Asterionella,Fragilariophyceae,Fragilariales,Bacillariophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,ND127,Cryptomonas,6,21733,Cryptomonadaceae,Cryptomonas,Cryptophyceae,Cryptomonadales,Cryptophycophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,ND128,Dinobryon,7,25355,Dinobryaceae,Dinobryon,Chrysophyceae,Ochromonadales,Chrysophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,ND149,Ankyra,2,7244,Oocystaceae,Ankistrodesmus,Chlorophyceae,Chlorococcales,Chlorophyta
1709,WYDEQ_RES_71,Phyto_Res_VanDorn,,,,,,43.411997,-108.1767444,BOYSEN RESERVOIR - LPD,1.01E+11,0,5/10/2022,9:45,ND225,Hannaea,2,7244,Fragilariaceae,Hannaea,Fragilariophyceae,Fragilariales,Bacillariophyta
1710,WYDEQ_RES_68,Phyto_Res_VanDorn,,,,,,,,Boysen Reservoir-Cottonwood Bay,1.01E+11,0,5/10/2022,10:40,1287,Navicula sp.,3,5293,Naviculaceae,Navicula,Bacillariophyceae,Naviculales,Bacillariophyta
1710,WYDEQ_RES_68,Phyto_Res_VanDorn,,,,,,,,Boysen Reservoir-Cottonwood Bay,1.01E+11,0,5/10/2022,10:40,1288,Nitzschia sp.,1,1764,Bacillariaceae,Nitzschia,Bacillariophyceae,Bacillariales,Bacillariophyta
1710,WYDEQ_RES_68,Phyto_Res_VanDorn,,,,,,,,Boysen Reservoir-Cottonwood Bay,1.01E+11,0,5/10/2022,10:40,1300,Fragilaria sp.,25,44111,Fragilariaceae,Fragilaria,Fragilariophyceae,Fragilariales,Bacillariophyta
