ChemSampID,StationID,WaterbodyName,CommonName,Latitude,Longitude,WaterbodySize_Acres,HUC12,Section,Quarter,Range,Town,Elevation,CollDate,ShortName_Revised,BelowDet,ChemValue,ChemUnits,Comments,SurfaceBottom,MaximumDepth,SampleDepth,WBTypeID,RepNum
69816,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Chlorophyll a (phytoplankton),0,4.8,µg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Alkalinity,0,167,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Conductance,0,615.1,µS/cm,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,"DO, mg/L",0,11.37,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,pH,0,8.1,SU,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Temp,0,9.8,°C,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,"DO, %",0,119.3,%,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Orthophosphate as P (total),1,0.01,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Total Ammonia as N,1,0.05,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Secchi Depth,0,4.1,m,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Phosphorus as P (total),0,0.1,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Total Nitrogen (unfiltered),0,0.2,mg/l,,,,0.5,LL,0
69817,WYDEQ_RES_71,"Boysen Reservoir, Lacustrine Pelagic: Dam",Boysen Reservoir,43.411997,-108.1767444,18534.250437,100800050501,,,,,4726.47998,5/10/2022,Nitrate plus Nitrite as N,1,0.05,mg/l,,,,0.5,LL,0
69818,WYDEQ_RES_68,"Boysen Reservoir Transitional Embayment, Cottonwood Creek Bay",Boysen Reservoir,43.346903,-108.2127722,18534.250437,100800050507,,,,,4726.47998,5/10/2022,Chlorophyll a (phytoplankton),0,4.3,µg/l,,,,0.5,LT,0
69819,WYDEQ_RES_68,"Boysen Reservoir Transitional Embayment, Cottonwood Creek Bay",Boysen Reservoir,43.346903,-108.2127722,18534.250437,100800050507,,,,,4726.47998,5/10/2022,Alkalinity,0,166,mg/l,,,,0.5,LT,0
